  0.000000e+00  15.102713  15.102713  15.102713 1.000000
  6.250000e-04  14.202265  14.143562  14.143562 0.973575
  1.250000e-03  13.282880  13.199967  13.443316  0.956133 
  1.875000e-03  12.574646  12.491174  12.925184  0.958996 
  2.500000e-03  12.062703  11.976752  12.400331  0.958931 
  3.125000e-03  11.643138  11.555678  11.900921  0.958469 
  3.750000e-03  11.263753  11.176706  11.451230  0.958188 
  4.375000e-03  10.918102  10.833039  11.058313  0.958075 
  5.000000e-03  10.611274  10.528776  10.717575  0.958081 
  5.625000e-03  10.344195  10.264050  10.422934  0.958158 
  6.250000e-03  10.113576  10.035313  10.168920  0.958270 
  6.875000e-03  9.914603  9.837793  9.949895  0.958392 
  7.500000e-03  9.742256  9.666579  9.760219  0.958512 
  8.125000e-03  9.591828  9.517064  9.594769  0.958621 
  8.750000e-03  9.459163  9.385162  9.449128  0.958717 
  9.375000e-03  9.340760  9.267413  9.319605  0.958801 
  1.000000e-02  9.233799  9.161016  9.203199  0.958874 
  1.062500e-02  9.136114  9.063807  9.097529  0.958938 
  1.125000e-02  9.046091  8.974173  9.000732  0.958995 
  1.187500e-02  8.962534  8.890924  8.911365  0.959045 
  1.250000e-02  8.884550  8.813173  8.828320  0.959091 
  1.312500e-02  8.811450  8.740243  8.750741  0.959134 
  1.375000e-02  8.742688  8.671604  8.677959  0.959174 
  1.437500e-02  8.677813  8.606818  8.609439  0.959211 
  1.500000e-02  8.616439  8.545511  8.544743  0.959246 
  1.562500e-02  8.558231  8.487359  8.483502  0.959279 
  1.625000e-02  8.502894  8.432073  8.425398  0.959310 
  1.687500e-02  8.450169  8.379396  8.370153  0.959338 
  1.750000e-02  8.399828  8.329104  8.317516  0.959365 
  1.812500e-02  8.351670  8.280995  8.267266  0.959389 
  1.875000e-02  8.305519  8.234895  8.219203  0.959412 
  1.937500e-02  8.261221  8.190647  8.173148  0.959432 
  2.000000e-02  8.218637  8.148113  8.128943  0.959451 
  2.062500e-02  8.177646  8.107169  8.086446  0.959468 
  2.125000e-02  8.138137  8.067706  8.045530  0.959484 
  2.187500e-02  8.100013  8.029624  8.006084  0.959498 
  2.250000e-02  8.063182  7.992833  7.968007  0.959511 
